id,nama_kawasan,kecamatan,jumlah_pkl,latitude,longitude,status_akses,alasan
47,Sentra PKL Ruko Sukolilo,Sukolilo,34,-7.306107,112.78995,Dekat Pasar,"Berjarak sekitar 1.24 km dari Pasar Semolowaru (<=3 km), termasuk zona layanan pasar tradisional."
48,Sekitar Pasar Lama Tandes,Tandes,30,-7.261702,112.680243,Dekat Pasar,"Berjarak sekitar 0.28 km dari Pasar Surya Balongsari (<=3 km), termasuk zona layanan pasar tradisional."
49,Area Perempatan Asemrowo,Asemrowo,53,-7.231824,112.677624,Blank Spot,"Berjarak sekitar 3.06 km dari Pasar Surya Balongsari, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
50,Sekitar Ruko Dukuh Pakis,Dukuh Pakis,41,-7.29128,112.725402,Dekat Pasar,"Berjarak sekitar 0.36 km dari Pasar Wonokitri (<=3 km), termasuk zona layanan pasar tradisional."
51,Sekitar Kampus Pabean Cantian,Pabean Cantian,37,-7.198434,112.733675,Blank Spot,"Berjarak sekitar 3.32 km dari Pasar Baba'an Baru, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
52,Zona Kuliner Alun-Alun Karang Pilang,Karang Pilang,44,-7.343,112.660166,Blank Spot,"Berjarak sekitar 3.52 km dari Pasar Tradisional Jala Wage, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
53,Kawasan Pertokoan Tenggilis Mejoyo,Tenggilis Mejoyo,17,-7.329432,112.771159,Dekat Pasar,"Berjarak sekitar 0.14 km dari Pasar Pahing (<=3 km), termasuk zona layanan pasar tradisional."
54,Sekitar Stasiun Pabean Cantian,Pabean Cantian,56,-7.20381,112.69462,Blank Spot,"Berjarak sekitar 3.34 km dari Tempat Pelelangan Ikan, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
55,Trotoar Pasar Lama Tenggilis Mejoyo,Tenggilis Mejoyo,8,-7.325985,112.762775,Dekat Pasar,"Berjarak sekitar 1.02 km dari Pasar Soponyono (<=3 km), termasuk zona layanan pasar tradisional."
56,Area Stasiun Pabean Cantian,Pabean Cantian,6,-7.218932,112.735345,Dekat Pasar,"Berjarak sekitar 1.05 km dari Pasar Baba'an Baru (<=3 km), termasuk zona layanan pasar tradisional."
57,Trotoar Jembatan Layang Pakal,Pakal,60,-7.202373,112.621255,Blank Spot,"Berjarak sekitar 3.74 km dari Pasar Tradisional Benowo, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
58,Trotoar GOR Gayungan,Gayungan,33,-7.33794,112.734055,Dekat Pasar,"Berjarak sekitar 0.52 km dari Pasar Siwalankerto (<=3 km), termasuk zona layanan pasar tradisional."
59,Bahu Jalan Perumahan Sambikerep,Sambikerep,57,-7.285094,112.607536,Blank Spot,"Berjarak sekitar 3.28 km dari Pasar Surya Lakarsantri, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
60,Lingkungan Pasar Lama Pakal,Pakal,12,-7.226307,112.634173,Dekat Pasar,"Berjarak sekitar 2.63 km dari Pasar Kendung (<=3 km), termasuk zona layanan pasar tradisional."
61,Lingkungan GOR Pabean Cantian,Pabean Cantian,46,-7.198319,112.738095,Blank Spot,"Berjarak sekitar 3.19 km dari Pasar Buah Pegirian, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
62,Bahu Jalan Kampus Benowo,Benowo,54,-7.245213,112.647005,Dekat Pasar,"Berjarak sekitar 0.68 km dari Pasar Bandarejo (<=3 km), termasuk zona layanan pasar tradisional."
63,Sentra PKL Perumahan Sambikerep,Sambikerep,43,-7.278089,112.681184,Dekat Pasar,"Berjarak sekitar 0.38 km dari Pasar Permai (<=3 km), termasuk zona layanan pasar tradisional."
64,Area Alun-Alun Gayungan,Gayungan,32,-7.338906,112.738072,Dekat Pasar,"Berjarak sekitar 0.75 km dari Pasar Siwalankerto (<=3 km), termasuk zona layanan pasar tradisional."
65,Bahu Jalan Taman Kota Gayungan,Gayungan,11,-7.354924,112.722736,Dekat Pasar,"Berjarak sekitar 1.42 km dari Pasar Dukuh Menanggal (<=3 km), termasuk zona layanan pasar tradisional."
66,Trotoar Simpang Jalan Sukolilo,Sukolilo,18,-7.275804,112.813767,Blank Spot,"Berjarak sekitar 3.00 km dari Pasar Tradisional Tempurejo, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
67,Zona Kuliner Ruko Sawahan,Sawahan,46,-7.268606,112.720085,Dekat Pasar,"Berjarak sekitar 0.73 km dari Pasar Surya (<=3 km), termasuk zona layanan pasar tradisional."
68,Bahu Jalan Stasiun Sukolilo,Sukolilo,60,-7.295176,112.775762,Dekat Pasar,"Berjarak sekitar 0.89 km dari Pasar Semolowaru (<=3 km), termasuk zona layanan pasar tradisional."
69,Kawasan Pertokoan Wonokromo,Wonokromo,56,-7.290929,112.751599,Dekat Pasar,"Berjarak sekitar 0.57 km dari Pasar Krukah (<=3 km), termasuk zona layanan pasar tradisional."
70,Trotoar Stasiun Pabean Cantian,Pabean Cantian,36,-7.184156,112.689129,Blank Spot,"Berjarak sekitar 3.12 km dari Tempat Pelelangan Ikan, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
71,Zona Kuliner Jembatan Layang Krembangan,Krembangan,48,-7.235338,112.714268,Dekat Pasar,"Berjarak sekitar 0.52 km dari Pasar Bangun Rejo (<=3 km), termasuk zona layanan pasar tradisional."
72,Zona Kuliner Ruko Sawahan,Sawahan,7,-7.261337,112.723834,Dekat Pasar,"Berjarak sekitar 0.72 km dari Pasar Tembok Dukuh (<=3 km), termasuk zona layanan pasar tradisional."
73,Zona Kuliner Taman Kota Bubutan,Bubutan,8,-7.259473,112.72881,Dekat Pasar,"Berjarak sekitar 0.49 km dari Pasar Tembok Dukuh (<=3 km), termasuk zona layanan pasar tradisional."
74,Zona Kuliner Terminal Simokerto,Simokerto,42,-7.246417,112.748626,Dekat Pasar,"Berjarak sekitar 0.14 km dari Pasar Pecindilan (<=3 km), termasuk zona layanan pasar tradisional."
75,Bahu Jalan Alun-Alun Bubutan,Bubutan,22,-7.251533,112.724393,Dekat Pasar,"Berjarak sekitar 0.51 km dari Pasar Tembok Dukuh (<=3 km), termasuk zona layanan pasar tradisional."
76,Trotoar Pasar Lama Benowo,Benowo,42,-7.251728,112.658937,Dekat Pasar,"Berjarak sekitar 0.40 km dari Pasar Banjar Sugihan (<=3 km), termasuk zona layanan pasar tradisional."
77,Lingkungan Taman Kota Benowo,Benowo,22,-7.262855,112.652524,Dekat Pasar,"Berjarak sekitar 1.06 km dari Pasar Banjar Sugihan (<=3 km), termasuk zona layanan pasar tradisional."
78,Kawasan Balai RW Sukolilo,Sukolilo,60,-7.288169,112.811261,Blank Spot,"Berjarak sekitar 3.85 km dari Pasar Sutorejo, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
79,Area Perempatan Dukuh Pakis,Dukuh Pakis,26,-7.306248,112.723018,Dekat Pasar,"Berjarak sekitar 0.15 km dari Pasar Ikan Hias Gunung Sari (<=3 km), termasuk zona layanan pasar tradisional."
80,Lingkungan Balai RW Semampir,Semampir,58,-7.20691,112.76009,Dekat Pasar,"Berjarak sekitar 0.84 km dari Pasar Bulak Banteng (<=3 km), termasuk zona layanan pasar tradisional."
81,Area Terminal Tambaksari,Tambaksari,49,-7.234632,112.767563,Dekat Pasar,"Berjarak sekitar 0.27 km dari Pasar Pogot (<=3 km), termasuk zona layanan pasar tradisional."
82,Trotoar Simpang Jalan Pabean Cantian,Pabean Cantian,44,-7.18652,112.730398,Blank Spot,"Berjarak sekitar 4.67 km dari Pasar Baba'an Baru, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
83,Area Taman Kota Sambikerep,Sambikerep,13,-7.262815,112.671741,Dekat Pasar,"Berjarak sekitar 0.37 km dari Pasar Sikatan (<=3 km), termasuk zona layanan pasar tradisional."
84,Kawasan Jembatan Layang Pakal,Pakal,55,-7.270063,112.613552,Blank Spot,"Berjarak sekitar 3.26 km dari Pasar Kendung, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
85,Bahu Jalan Alun-Alun Kenjeran,Kenjeran,22,-7.228024,112.773722,Dekat Pasar,"Berjarak sekitar 0.62 km dari Pasar Rabardjo (<=3 km), termasuk zona layanan pasar tradisional."
86,Kawasan Simpang Jalan Sawahan,Sawahan,27,-7.262046,112.724146,Dekat Pasar,"Berjarak sekitar 0.78 km dari Pasar Tembok Dukuh (<=3 km), termasuk zona layanan pasar tradisional."
87,Lingkungan Perempatan Asemrowo,Asemrowo,32,-7.242573,112.710893,Dekat Pasar,"Berjarak sekitar 0.54 km dari Pasar Loak Dupak Baru (<=3 km), termasuk zona layanan pasar tradisional."
88,Zona Kuliner Pertokoan Gayungan,Gayungan,5,-7.343912,112.752814,Dekat Pasar,"Berjarak sekitar 1.04 km dari Pasar Tradisional Syariah Az Zaitun I Kutisari (<=3 km), termasuk zona layanan pasar tradisional."
89,Sekitar Jembatan Layang Tambaksari,Tambaksari,36,-7.244403,112.754781,Dekat Pasar,"Berjarak sekitar 0.70 km dari Pasar Pecindilan (<=3 km), termasuk zona layanan pasar tradisional."
90,Lingkungan Taman Kota Benowo,Benowo,60,-7.25153,112.660039,Dekat Pasar,"Berjarak sekitar 0.46 km dari Pasar Banjar Sugihan (<=3 km), termasuk zona layanan pasar tradisional."
91,Trotoar Depan Sekolah Karang Pilang,Karang Pilang,47,-7.342073,112.664448,Blank Spot,"Berjarak sekitar 3.39 km dari Pasar Karang Pilang, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
92,Kawasan Perempatan Sukolilo,Sukolilo,43,-7.284647,112.804579,Blank Spot,"Berjarak sekitar 3.14 km dari Pasar Sutorejo, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
93,Sentra PKL Pertokoan Wonokromo,Wonokromo,54,-7.292521,112.733728,Dekat Pasar,"Berjarak sekitar 0.92 km dari Pasar Wonokitri (<=3 km), termasuk zona layanan pasar tradisional."
94,Lingkungan Pasar Lama Krembangan,Krembangan,51,-7.242295,112.719524,Dekat Pasar,"Berjarak sekitar 0.37 km dari Toko Barokah dan Isi Ulang (<=3 km), termasuk zona layanan pasar tradisional."
95,Area Kampus Pakal,Pakal,10,-7.270455,112.600746,Blank Spot,"Berjarak sekitar 4.13 km dari Pasar Tradisional Benowo, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
96,Zona Kuliner Perempatan Wonokromo,Wonokromo,18,-7.287368,112.749365,Dekat Pasar,"Berjarak sekitar 0.58 km dari Pasar Pucang Anom (<=3 km), termasuk zona layanan pasar tradisional."
97,Sentra PKL Taman Kota Asemrowo,Asemrowo,31,-7.235075,112.711657,Dekat Pasar,"Berjarak sekitar 0.75 km dari Pasar Bangun Rejo (<=3 km), termasuk zona layanan pasar tradisional."
98,Trotoar Terminal Simokerto,Simokerto,57,-7.228324,112.751709,Dekat Pasar,"Berjarak sekitar 0.52 km dari Pasar Buah Pegirian (<=3 km), termasuk zona layanan pasar tradisional."
99,Area Taman Kota Krembangan,Krembangan,39,-7.229972,112.739187,Dekat Pasar,"Berjarak sekitar 0.44 km dari Pasar Baba'an Baru (<=3 km), termasuk zona layanan pasar tradisional."
100,Sekitar Ruko Benowo,Benowo,46,-7.238445,112.646418,Dekat Pasar,"Berjarak sekitar 1.42 km dari Pasar Bandarejo (<=3 km), termasuk zona layanan pasar tradisional."
101,Sekitar GOR Pakal,Pakal,31,-7.197557,112.658053,Dekat Pasar,"Berjarak sekitar 0.76 km dari Tempat Pelelangan Ikan (<=3 km), termasuk zona layanan pasar tradisional."
102,Sentra PKL Alun-Alun Karang Pilang,Karang Pilang,31,-7.345415,112.662489,Blank Spot,"Berjarak sekitar 3.62 km dari Pasar Karang Pilang, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
103,Area Kampus Pakal,Pakal,36,-7.265153,112.612362,Blank Spot,"Berjarak sekitar 3.03 km dari Pasar Kendung, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
104,Trotoar Kampus Pabean Cantian,Pabean Cantian,53,-7.204297,112.718338,Blank Spot,"Berjarak sekitar 3.27 km dari Pasar Baba'an Baru, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
105,Sentra PKL Pasar Lama Mulyorejo,Mulyorejo,37,-7.265504,112.803142,Dekat Pasar,"Berjarak sekitar 1.37 km dari Pasar Tradisional Tempurejo (<=3 km), termasuk zona layanan pasar tradisional."
106,Lingkungan Balai RW Tenggilis Mejoyo,Tenggilis Mejoyo,20,-7.300978,112.768337,Dekat Pasar,"Berjarak sekitar 0.91 km dari Pasar Burung Bratang (<=3 km), termasuk zona layanan pasar tradisional."
107,Sentra PKL Perempatan Lakarsantri,Lakarsantri,44,-7.337141,112.6627,Blank Spot,"Berjarak sekitar 3.01 km dari Pasar Tradisional Jala Wage, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
108,Bahu Jalan Pertokoan Pabean Cantian,Pabean Cantian,7,-7.190315,112.710867,Blank Spot,"Berjarak sekitar 5.02 km dari Pasar Baba'an Baru, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
109,Bahu Jalan Pertokoan Bubutan,Bubutan,5,-7.255773,112.720161,Dekat Pasar,"Berjarak sekitar 0.63 km dari Pasar Pacuan Kuda (<=3 km), termasuk zona layanan pasar tradisional."
110,Trotoar Jembatan Layang Gayungan,Gayungan,55,-7.338368,112.744736,Dekat Pasar,"Berjarak sekitar 0.16 km dari Pasar Tradisional Syariah Az Zaitun I Kutisari (<=3 km), termasuk zona layanan pasar tradisional."
111,Sekitar Jembatan Layang Gayungan,Gayungan,45,-7.326889,112.735462,Dekat Pasar,"Berjarak sekitar 0.72 km dari Pasar Siwalankerto (<=3 km), termasuk zona layanan pasar tradisional."
112,Kawasan Stasiun Gunung Anyar,Gunung Anyar,29,-7.33205,112.790963,Dekat Pasar,"Berjarak sekitar 1.38 km dari Pasar Wisata Penjaringan Sari (<=3 km), termasuk zona layanan pasar tradisional."
113,Zona Kuliner Pasar Lama Pabean Cantian,Pabean Cantian,49,-7.187302,112.729508,Blank Spot,"Berjarak sekitar 4.60 km dari Pasar Baba'an Baru, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
114,Trotoar Depan Sekolah Pabean Cantian,Pabean Cantian,40,-7.204779,112.698947,Blank Spot,"Berjarak sekitar 3.83 km dari Tempat Pelelangan Ikan, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
115,Sentra PKL Pertokoan Tegalsari,Tegalsari,7,-7.265937,112.739738,Dekat Pasar,"Berjarak sekitar 0.27 km dari Pasar Kaliasin (<=3 km), termasuk zona layanan pasar tradisional."
116,Sekitar Pasar Lama Pabean Cantian,Pabean Cantian,9,-7.191419,112.722746,Blank Spot,"Berjarak sekitar 4.33 km dari Pasar Baba'an Baru, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
117,Lingkungan GOR Sawahan,Sawahan,32,-7.281053,112.733104,Dekat Pasar,"Berjarak sekitar 0.97 km dari Pasar Kupang (<=3 km), termasuk zona layanan pasar tradisional."
118,Area Alun-Alun Jambangan,Jambangan,56,-7.31264,112.719899,Dekat Pasar,"Berjarak sekitar 0.88 km dari Pasar Ikan Hias Gunung Sari (<=3 km), termasuk zona layanan pasar tradisional."
119,Trotoar Taman Kota Tandes,Tandes,34,-7.254203,112.678768,Dekat Pasar,"Berjarak sekitar 0.58 km dari Pasar Surya Balongsari (<=3 km), termasuk zona layanan pasar tradisional."
120,Sentra PKL Simpang Jalan Sawahan,Sawahan,27,-7.261033,112.724396,Dekat Pasar,"Berjarak sekitar 0.67 km dari Pasar Tembok Dukuh (<=3 km), termasuk zona layanan pasar tradisional."
121,Sekitar Terminal Tegalsari,Tegalsari,29,-7.264633,112.741276,Dekat Pasar,"Berjarak sekitar 0.37 km dari Pasar Kaliasin (<=3 km), termasuk zona layanan pasar tradisional."
122,Kawasan Taman Kota Asemrowo,Asemrowo,18,-7.220198,112.684559,Blank Spot,"Berjarak sekitar 3.23 km dari Tempat Pelelangan Ikan, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
123,Lingkungan Perumahan Lakarsantri,Lakarsantri,22,-7.293931,112.61464,Dekat Pasar,"Berjarak sekitar 2.08 km dari Pasar Surya Lakarsantri (<=3 km), termasuk zona layanan pasar tradisional."
124,Bahu Jalan Terminal Sambikerep,Sambikerep,6,-7.283865,112.608607,Blank Spot,"Berjarak sekitar 3.27 km dari Pasar Surya Lakarsantri, pasar terdekat (>3 km) - kandidat lokasi Blank Spot."
125,Area Perumahan Simokerto,Simokerto,43,-7.240729,112.742872,Dekat Pasar,"Berjarak sekitar 0.69 km dari Pasar Pabean (<=3 km), termasuk zona layanan pasar tradisional."
126,Sentra PKL Jembatan Layang Krembangan,Krembangan,41,-7.236127,112.724803,Dekat Pasar,"Berjarak sekitar 0.74 km dari Pasar Dupak Jaya (<=3 km), termasuk zona layanan pasar tradisional."
127,Sentra PKL Perumahan Sukomanunggal,Sukomanunggal,41,-7.282986,112.705866,Dekat Pasar,"Berjarak sekitar 0.64 km dari Pasar Dukuh Kupang (<=3 km), termasuk zona layanan pasar tradisional."
128,Trotoar Balai RW Gubeng,Gubeng,59,-7.279718,112.77527,Dekat Pasar,"Berjarak sekitar 1.16 km dari Kantor Pusat PD Pasar Surya (<=3 km), termasuk zona layanan pasar tradisional."
129,Trotoar Terminal Rungkut,Rungkut,37,-7.32542,112.783246,Dekat Pasar,"Berjarak sekitar 0.37 km dari Pasar Penjaringan Sari (<=3 km), termasuk zona layanan pasar tradisional."
130,Bahu Jalan Terminal Sawahan,Sawahan,40,-7.283277,112.72562,Dekat Pasar,"Berjarak sekitar 0.64 km dari Pasar Kupang Gunung (<=3 km), termasuk zona layanan pasar tradisional."
131,Sekitar Perumahan Rungkut,Rungkut,18,-7.31859,112.787033,Dekat Pasar,"Berjarak sekitar 0.49 km dari Pasar Wisata Penjaringan Sari (<=3 km), termasuk zona layanan pasar tradisional."
